name,kind,raw_start,raw_end,trim_start,trim_end,N,mean,std
Clean(2),low,170,889,400,659,260,0.0076410224,0.0013388659789639334
Clean(2),high,1172,1849,1402,1619,218,0.13337156146788992,0.001962543355635252
Clean(2),low,2169,2889,2399,2659,261,0.007796931513409962,0.0011828795487372414
Clean(2),high,3170,3849,3400,3619,220,0.1337424277272727,0.0021626700898725914
Clean(2),low,4169,4890,4399,4660,262,0.007773533625954199,0.001306738147077752
Clean(2),high,5174,5850,5404,5620,217,0.13319508617511522,0.001998283178360641
Clean(2),low,6168,6890,6398,6660,263,0.00792775347148289,0.0013122776102906602
Clean(2),high,7172,7849,7402,7619,218,0.1335703389908257,0.002218807584668276
Clean(2),low,8169,8888,8399,8658,260,0.007807689161538462,0.0013508283266707437
Clean(2),high,9172,9850,9402,9620,219,0.1334931506849315,0.0019453082080364862
