index,state
639,holding
640,holding
641,holding
642,holding
643,holding
644,holding
645,holding
646,holding
647,holding
648,holding
649,holding
650,holding
651,holding
652,holding
653,holding
654,holding
655,holding
656,holding
657,holding
658,holding
659,holding
660,holding
661,holding
662,holding
663,holding
664,holding
665,holding
666,holding
667,holding
668,holding
669,holding
670,holding
671,holding
672,holding
673,holding
674,holding
675,holding
676,holding
677,holding
678,holding
679,holding
680,holding
681,holding
682,holding
683,holding
684,holding
685,holding
686,holding
687,holding
688,holding
689,holding
690,holding
691,holding
692,holding
693,holding
694,holding
695,holding
696,holding
697,holding
698,holding
699,holding
700,holding
701,holding
702,holding
703,holding
704,holding
705,holding
706,holding
707,holding
708,holding
709,holding
710,holding
711,holding
712,holding
713,holding
714,holding
715,holding
716,holding
717,holding
718,holding
719,holding
720,holding
721,holding
722,holding
723,holding
724,holding
725,holding
726,holding
727,holding
728,holding
729,holding
730,holding
731,holding
732,holding
733,holding
734,holding
735,holding
736,holding
737,holding
738,holding
739,holding
740,holding
741,holding
742,holding
743,holding
744,holding
745,holding
746,holding
747,holding
748,holding
749,holding
750,holding
751,holding
752,holding
753,holding
754,holding
755,holding
756,holding
757,holding
758,holding
759,holding
760,holding
761,holding
762,holding
763,holding
764,holding
765,holding
766,holding
767,holding
768,holding
769,holding
770,holding
771,holding
772,holding
773,holding
774,holding
775,holding
776,holding
777,holding
778,holding
779,holding
780,holding
781,holding
782,holding
783,holding
784,holding
785,holding
786,holding
787,holding
788,holding
789,holding
790,holding
791,holding
792,holding
793,holding
794,holding
795,holding
796,holding
797,holding
798,holding
799,holding
800,holding
801,holding
802,holding
803,holding
804,holding
805,holding
806,holding
807,holding
808,holding
809,holding
810,holding
811,holding
812,holding
813,holding
814,holding
815,holding
816,holding
817,holding
818,holding
819,holding
820,holding
821,holding
822,holding
823,holding
824,holding
825,holding
826,holding
827,holding
828,holding
829,holding
830,holding
831,holding
832,holding
833,holding
834,holding
835,holding
836,holding
837,holding
838,holding
839,holding
840,holding
841,holding
842,holding
843,holding
844,holding
845,holding
846,holding
847,holding
848,holding
849,holding
850,holding
851,holding
852,holding
853,holding
854,holding
855,holding
856,holding
857,holding
858,holding
859,holding
860,holding
861,holding
862,holding
863,holding
864,holding
865,holding
866,holding
867,holding
868,holding
869,holding
870,holding
871,holding
872,holding
873,holding
874,holding
875,holding
876,holding
877,holding
878,holding
879,holding
880,holding
881,holding
882,holding
883,holding
884,holding
885,holding
886,rising
887,rising
888,rising
889,rising
890,rising
891,rising
892,rising
893,rising
894,rising
895,rising
896,rising
897,rising
898,rising
899,rising
900,rising
901,rising
902,rising
903,rising
904,rising
905,rising
906,rising
907,rising
908,rising
909,rising
910,rising
911,rising
912,rising
913,rising
914,rising
915,rising
916,rising
917,rising
918,rising
919,rising
920,rising
921,rising
922,rising
923,rising
924,rising
925,rising
926,rising
927,rising
928,rising
929,rising
930,rising
931,rising
932,rising
933,rising
934,rising
935,rising
936,rising
937,rising
938,rising
939,rising
940,rising
941,rising
942,rising
943,rising
944,rising
945,rising
946,rising
947,rising
948,rising
949,rising
950,rising
951,rising
952,rising
953,rising
954,rising
955,rising
956,rising
957,rising
958,rising
959,rising
960,rising
961,rising
962,rising
963,rising
964,rising
965,rising
966,rising
967,rising
968,rising
969,rising
970,rising
971,rising
972,rising
973,rising
974,rising
975,rising
976,rising
977,rising
978,rising
979,rising
980,rising
981,rising
982,rising
983,rising
984,rising
985,rising
986,rising
987,rising
988,rising
989,rising
990,rising
991,rising
992,rising
993,rising
994,rising
995,rising
996,rising
997,rising
998,rising
999,rising
1000,rising
1001,rising
1002,rising
1003,rising
1004,rising
1005,rising
1006,rising
1007,rising
1008,rising
1009,rising
1010,rising
1011,rising
1012,rising
1013,rising
1014,rising
1015,rising
1016,rising
1017,rising
1018,rising
1019,rising
1020,rising
1021,rising
1022,rising
1023,rising
1024,rising
1025,rising
1026,rising
1027,rising
1028,rising
1029,rising
1030,rising
1031,rising
1032,rising
1033,rising
1034,rising
1035,rising
1036,rising
1037,rising
1038,rising
1039,rising
1040,rising
1041,rising
1042,rising
1043,rising
1044,rising
1045,rising
1046,rising
1047,rising
1048,rising
1049,rising
1050,rising
1051,rising
1052,rising
1053,rising
1054,rising
1055,rising
1056,rising
1057,rising
1058,rising
1059,rising
1060,rising
1061,rising
1062,rising
1063,rising
1064,rising
1065,rising
1066,rising
1067,rising
1068,rising
1069,rising
1070,rising
1071,rising
1072,rising
1073,rising
1074,rising
1075,rising
1076,rising
1077,rising
1078,rising
1079,rising
1080,rising
1081,rising
1082,rising
1083,rising
1084,rising
1085,rising
1086,rising
1087,rising
1088,rising
1089,rising
1090,rising
1091,rising
1092,rising
1093,rising
1094,rising
1095,rising
1096,rising
1097,rising
1098,rising
1099,rising
1100,rising
1101,rising
1102,rising
1103,rising
1104,rising
1105,rising
1106,rising
1107,rising
1108,rising
1109,rising
1110,rising
1111,rising
1112,rising
1113,rising
1114,rising
1115,rising
1116,rising
1117,rising
1118,rising
1119,rising
1120,rising
1121,rising
1122,rising
1123,rising
1124,rising
1125,rising
1126,rising
1127,rising
1128,rising
1129,rising
1130,rising
1131,rising
1132,rising
1133,rising
1134,rising
1135,rising
1136,rising
1137,rising
1138,rising
1139,rising
1140,rising
1141,rising
1142,rising
1143,rising
1144,rising
1145,rising
1146,rising
1147,rising
1148,rising
1149,rising
1150,rising
1151,rising
1152,rising
1153,rising
1154,rising
1155,rising
1156,rising
1157,rising
1158,rising
1159,rising
1160,rising
1161,rising
1162,rising
1163,rising
1164,rising
1165,rising
1166,rising
1167,rising
1168,rising
1169,rising
1170,rising
1171,rising
1172,rising
1173,rising
1174,rising
1175,rising
1176,rising
1177,holding
1178,holding
1179,holding
1180,holding
1181,holding
1182,holding
1183,holding
1184,holding
1185,holding
1186,holding
1187,holding
1188,holding
1189,holding
1190,holding
1191,holding
1192,holding
1193,holding
1194,holding
1195,holding
1196,holding
1197,holding
1198,holding
1199,holding
1200,holding
1201,holding
1202,holding
1203,holding
1204,holding
1205,holding
1206,holding
1207,holding
1208,holding
1209,holding
1210,holding
1211,holding
1212,holding
1213,holding
1214,holding
1215,holding
1216,holding
1217,holding
1218,holding
1219,holding
1220,holding
1221,holding
1222,holding
1223,holding
1224,holding
1225,holding
1226,holding
1227,holding
1228,holding
1229,holding
1230,holding
1231,holding
1232,holding
1233,holding
1234,holding
1235,holding
1236,holding
1237,holding
1238,holding
1239,holding
1240,holding
1241,holding
1242,holding
1243,holding
1244,holding
1245,holding
1246,holding
1247,holding
1248,holding
1249,holding
1250,holding
1251,holding
1252,holding
1253,holding
1254,holding
1255,holding
1256,holding
1257,holding
1258,holding
1259,holding
1260,holding
1261,holding
1262,holding
1263,holding
1264,holding
1265,holding
1266,holding
1267,holding
1268,holding
1269,holding
1270,holding
1271,holding
1272,holding
1273,holding
1274,holding
1275,holding
1276,holding
1277,holding
1278,holding
1279,holding
1280,holding
1281,holding
1282,holding
1283,holding
1284,holding
1285,holding
1286,holding
1287,holding
1288,holding
1289,holding
1290,holding
1291,holding
1292,holding
1293,holding
1294,holding
1295,holding
1296,holding
1297,holding
1298,holding
1299,holding
1300,holding
1301,holding
1302,holding
1303,holding
1304,holding
1305,holding
1306,holding
1307,holding
1308,holding
1309,holding
1310,holding
1311,holding
1312,holding
1313,holding
1314,holding
1315,holding
1316,holding
1317,holding
1318,holding
1319,holding
1320,holding
1321,holding
1322,holding
1323,holding
1324,holding
1325,holding
1326,holding
1327,holding
1328,holding
1329,holding
1330,holding
1331,holding
1332,holding
1333,holding
1334,holding
1335,holding
1336,holding
1337,holding
1338,holding
1339,holding
1340,holding
1341,holding
1342,holding
1343,holding
1344,holding
1345,holding
1346,holding
1347,holding
1348,holding
1349,holding
1350,holding
1351,holding
1352,holding
1353,holding
1354,holding
1355,holding
1356,holding
1357,holding
1358,holding
1359,holding
1360,holding
1361,holding
1362,holding
1363,holding
1364,holding
1365,holding
1366,holding
1367,holding
1368,holding
1369,holding
1370,holding
1371,holding
1372,holding
1373,holding
1374,holding
1375,holding
1376,holding
1377,holding
1378,holding
1379,holding
1380,holding
1381,holding
1382,holding
1383,holding
1384,holding
1385,holding
1386,holding
1387,holding
1388,holding
1389,holding
1390,holding
1391,holding
1392,holding
1393,holding
1394,holding
1395,holding
1396,holding
1397,holding
1398,holding
1399,holding
1400,holding
1401,holding
1402,holding
1403,holding
1404,holding
1405,holding
1406,holding
1407,holding
1408,holding
1409,holding
1410,holding
1411,holding
1412,holding
1413,holding
1414,holding
1415,holding
1416,holding
1417,holding
1418,holding
1419,holding
1420,holding
1421,holding
1422,holding
1423,holding
1424,holding
1425,holding
1426,holding
1427,holding
1428,holding
1429,holding
1430,holding
1431,holding
1432,holding
1433,holding
1434,holding
1435,holding
1436,holding
1437,holding
1438,holding
1439,holding
1440,holding
1441,holding
1442,holding
1443,holding
1444,holding
1445,holding
1446,holding
1447,holding
1448,holding
1449,holding
1450,holding
1451,holding
1452,holding
1453,holding
1454,holding
1455,holding
1456,holding
1457,holding
1458,holding
1459,holding
1460,holding
1461,holding
1462,holding
1463,holding
1464,holding
1465,holding
1466,holding
1467,holding
1468,holding
1469,holding
1470,holding
1471,holding
1472,holding
1473,holding
1474,holding
1475,holding
1476,holding
1477,holding
1478,holding
1479,holding
1480,holding
1481,holding
1482,holding
1483,holding
1484,holding
1485,holding
1486,holding
1487,holding
1488,holding
1489,holding
1490,holding
1491,holding
1492,holding
1493,holding
1494,holding
1495,holding
1496,holding
1497,holding
1498,holding
1499,holding
1500,holding
1501,holding
1502,holding
1503,holding
1504,holding
1505,holding
1506,holding
1507,holding
1508,holding
1509,holding
1510,holding
1511,holding
1512,holding
1513,holding
1514,holding
1515,holding
1516,holding
1517,holding
1518,holding
1519,holding
1520,holding
1521,holding
1522,holding
1523,holding
1524,holding
1525,holding
1526,holding
1527,holding
1528,holding
1529,holding
1530,holding
1531,holding
1532,holding
1533,holding
1534,holding
1535,holding
1536,holding
1537,holding
1538,holding
1539,holding
1540,holding
1541,holding
1542,holding
1543,holding
1544,holding
1545,holding
1546,holding
1547,holding
1548,holding
1549,holding
1550,holding
1551,holding
1552,holding
1553,holding
1554,holding
1555,holding
1556,holding
1557,holding
1558,holding
1559,holding
1560,holding
1561,holding
1562,holding
1563,holding
1564,holding
1565,holding
1566,holding
1567,holding
1568,holding
1569,holding
1570,holding
1571,holding
1572,holding
1573,holding
1574,holding
1575,holding
1576,holding
1577,holding
1578,holding
1579,holding
1580,holding
1581,holding
1582,holding
1583,holding
1584,holding
1585,holding
1586,holding
1587,holding
1588,holding
1589,holding
1590,holding
1591,holding
1592,holding
1593,holding
1594,holding
1595,holding
1596,holding
1597,holding
1598,holding
1599,holding
1600,holding
1601,holding
1602,holding
1603,holding
1604,holding
1605,holding
1606,holding
1607,holding
1608,holding
1609,holding
1610,holding
1611,holding
1612,holding
1613,holding
1614,holding
1615,holding
1616,holding
1617,holding
1618,holding
1619,holding
1620,holding
1621,holding
1622,holding
1623,holding
1624,holding
1625,holding
1626,holding
1627,holding
1628,holding
1629,holding
1630,holding
1631,holding
1632,holding
1633,holding
1634,holding
1635,holding
1636,holding
1637,holding
1638,holding
1639,holding
1640,holding
1641,holding
1642,holding
1643,holding
1644,holding
1645,holding
1646,holding
1647,holding
1648,holding
1649,holding
1650,holding
1651,holding
1652,holding
1653,holding
1654,holding
1655,holding
1656,holding
1657,holding
1658,holding
1659,holding
1660,holding
1661,holding
1662,holding
1663,holding
1664,holding
1665,holding
1666,holding
1667,holding
1668,holding
1669,holding
1670,holding
1671,holding
1672,holding
1673,holding
1674,holding
1675,holding
1676,holding
1677,holding
1678,holding
1679,holding
1680,holding
1681,holding
1682,holding
1683,holding
1684,holding
1685,holding
1686,holding
1687,holding
1688,holding
1689,holding
1690,holding
1691,holding
1692,holding
1693,holding
1694,holding
1695,holding
1696,holding
1697,holding
1698,holding
1699,holding
1700,holding
1701,holding
1702,holding
1703,holding
1704,holding
1705,holding
1706,holding
1707,holding
1708,holding
1709,holding
1710,holding
1711,holding
1712,holding
1713,holding
1714,holding
1715,holding
1716,holding
1717,holding
1718,holding
1719,holding
1720,holding
1721,holding
1722,holding
1723,holding
1724,holding
1725,holding
1726,holding
1727,holding
1728,holding
1729,holding
1730,holding
1731,holding
1732,holding
1733,holding
1734,holding
1735,holding
1736,holding
1737,holding
1738,holding
1739,holding
1740,holding
1741,holding
1742,holding
1743,holding
1744,holding
1745,holding
1746,holding
1747,holding
1748,holding
1749,holding
1750,holding
1751,holding
1752,holding
1753,holding
1754,holding
1755,holding
1756,holding
1757,holding
1758,holding
1759,holding
1760,holding
1761,holding
1762,holding
1763,holding
1764,holding
1765,holding
1766,holding
1767,holding
1768,holding
1769,holding
1770,holding
1771,holding
1772,holding
1773,holding
1774,holding
1775,holding
1776,holding
1777,holding
1778,holding
1779,holding
1780,holding
1781,holding
1782,holding
1783,holding
1784,holding
1785,holding
1786,holding
1787,holding
1788,holding
1789,holding
1790,holding
1791,holding
1792,holding
1793,holding
1794,holding
1795,holding
1796,holding
1797,holding
1798,holding
1799,holding
1800,holding
1801,holding
1802,holding
1803,holding
1804,holding
1805,holding
1806,holding
1807,holding
1808,holding
1809,holding
1810,holding
1811,holding
1812,holding
1813,holding
1814,holding
1815,holding
1816,holding
1817,holding
1818,holding
1819,holding
1820,holding
1821,holding
1822,holding
1823,holding
1824,holding
1825,holding
1826,holding
1827,holding
1828,holding
1829,holding
1830,holding
1831,holding
1832,holding
1833,holding
1834,holding
1835,holding
1836,holding
1837,holding
1838,holding
1839,holding
1840,holding
1841,holding
1842,falling
1843,falling
1844,falling
1845,falling
1846,falling
1847,falling
1848,falling
1849,falling
1850,falling
1851,falling
1852,falling
1853,falling
1854,falling
1855,falling
1856,falling
1857,falling
1858,falling
1859,falling
1860,falling
1861,falling
1862,falling
1863,falling
1864,falling
1865,falling
1866,falling
1867,falling
1868,falling
1869,falling
1870,falling
1871,falling
1872,falling
1873,falling
1874,falling
1875,falling
1876,falling
1877,falling
1878,falling
1879,falling
1880,falling
1881,falling
1882,falling
1883,falling
1884,falling
1885,falling
1886,falling
1887,falling
1888,falling
1889,falling
1890,falling
1891,falling
1892,falling
1893,falling
1894,falling
1895,falling
1896,falling
1897,falling
1898,falling
1899,falling
1900,falling
1901,falling
1902,falling
1903,falling
1904,falling
1905,falling
1906,falling
1907,falling
1908,falling
1909,falling
1910,falling
1911,falling
1912,falling
1913,falling
1914,falling
1915,falling
1916,falling
1917,falling
1918,falling
1919,falling
1920,falling
1921,falling
1922,falling
1923,falling
1924,falling
1925,falling
1926,falling
1927,falling
1928,falling
1929,falling
1930,falling
1931,falling
1932,falling
1933,falling
1934,falling
1935,falling
1936,falling
1937,falling
1938,falling
1939,falling
1940,falling
1941,falling
1942,falling
1943,falling
1944,falling
1945,falling
1946,falling
1947,falling
1948,falling
1949,falling
1950,falling
1951,falling
1952,falling
1953,falling
1954,falling
1955,falling
1956,falling
1957,falling
1958,falling
1959,falling
1960,falling
1961,falling
1962,falling
1963,falling
1964,falling
1965,falling
1966,falling
1967,falling
1968,falling
1969,falling
1970,falling
1971,falling
1972,falling
1973,falling
1974,falling
1975,falling
1976,falling
1977,falling
1978,falling
1979,falling
1980,falling
1981,falling
1982,falling
1983,falling
1984,falling
1985,falling
1986,falling
1987,falling
1988,falling
1989,falling
1990,falling
1991,falling
1992,falling
1993,falling
1994,falling
1995,falling
1996,falling
1997,falling
1998,falling
1999,falling
2000,falling
2001,falling
2002,falling
2003,falling
2004,falling
2005,falling
2006,falling
2007,falling
2008,falling
2009,falling
2010,falling
2011,falling
2012,falling
2013,falling
2014,falling
2015,falling
2016,falling
2017,falling
2018,falling
2019,falling
2020,falling
2021,falling
2022,falling
2023,falling
2024,falling
2025,falling
2026,falling
2027,falling
2028,falling
2029,falling
2030,falling
2031,falling
2032,falling
2033,falling
2034,falling
2035,falling
2036,falling
2037,falling
2038,falling
2039,falling
2040,falling
2041,falling
2042,falling
2043,falling
2044,falling
2045,falling
2046,falling
2047,falling
2048,falling
2049,falling
2050,falling
2051,falling
2052,falling
2053,falling
2054,falling
2055,falling
2056,falling
2057,falling
2058,falling
2059,falling
2060,falling
2061,falling
2062,falling
2063,falling
2064,falling
2065,falling
2066,falling
2067,falling
2068,falling
2069,falling
2070,falling
2071,falling
2072,falling
2073,falling
2074,falling
2075,falling
2076,falling
2077,falling
2078,falling
2079,falling
2080,falling
2081,falling
2082,falling
2083,falling
2084,falling
2085,falling
2086,falling
2087,falling
2088,falling
2089,falling
2090,falling
2091,falling
2092,falling
2093,falling
2094,falling
2095,falling
2096,falling
2097,falling
2098,falling
2099,falling
2100,falling
2101,falling
2102,falling
2103,falling
2104,falling
2105,falling
2106,falling
2107,falling
2108,falling
2109,falling
2110,falling
2111,falling
2112,falling
2113,falling
2114,falling
2115,falling
2116,falling
2117,falling
2118,falling
2119,falling
2120,falling
2121,falling
2122,falling
2123,falling
2124,falling
2125,falling
2126,falling
2127,falling
2128,falling
2129,falling
2130,falling
2131,falling
2132,falling
2133,falling
2134,falling
2135,falling
2136,falling
2137,falling
2138,falling
2139,falling
2140,falling
2141,falling
2142,falling
2143,falling
2144,falling
2145,falling
2146,falling
2147,falling
2148,falling
2149,falling
2150,falling
2151,falling
2152,falling
2153,falling
2154,falling
2155,falling
2156,falling
2157,falling
2158,falling
2159,falling
2160,falling
2161,falling
2162,falling
2163,falling
2164,falling
2165,falling
2166,falling
2167,falling
2168,falling
2169,falling
2170,falling
2171,falling
2172,falling
2173,falling
2174,holding
2175,holding
2176,holding
2177,holding
2178,holding
2179,holding
2180,holding
2181,holding
2182,holding
2183,holding
2184,holding
2185,holding
2186,holding
2187,holding
2188,holding
2189,holding
2190,holding
2191,holding
2192,holding
2193,holding
2194,holding
2195,holding
2196,holding
2197,holding
2198,holding
2199,holding
2200,holding
2201,holding
2202,holding
2203,holding
2204,holding
2205,holding
2206,holding
2207,holding
2208,holding
2209,holding
2210,holding
2211,holding
2212,holding
2213,holding
2214,holding
2215,holding
2216,holding
2217,holding
2218,holding
2219,holding
2220,holding
2221,holding
2222,holding
2223,holding
2224,holding
2225,holding
2226,holding
2227,holding
2228,holding
2229,holding
2230,holding
2231,holding
2232,holding
2233,holding
2234,holding
2235,holding
2236,holding
2237,holding
2238,holding
2239,holding
2240,holding
2241,holding
2242,holding
2243,holding
2244,holding
2245,holding
2246,holding
2247,holding
2248,holding
2249,holding
2250,holding
2251,holding
2252,holding
2253,holding
2254,holding
2255,holding
2256,holding
2257,holding
2258,holding
2259,holding
2260,holding
2261,holding
2262,holding
2263,holding
2264,holding
2265,holding
2266,holding
2267,holding
2268,holding
2269,holding
2270,holding
2271,holding
2272,holding
2273,holding
2274,holding
2275,holding
2276,holding
2277,holding
2278,holding
2279,holding
2280,holding
2281,holding
2282,holding
2283,holding
2284,holding
2285,holding
2286,holding
2287,holding
2288,holding
2289,holding
2290,holding
2291,holding
2292,holding
2293,holding
2294,holding
2295,holding
2296,holding
2297,holding
2298,holding
2299,holding
2300,holding
2301,holding
2302,holding
2303,holding
2304,holding
2305,holding
2306,holding
2307,holding
2308,holding
2309,holding
2310,holding
2311,holding
2312,holding
2313,holding
2314,holding
2315,holding
2316,holding
2317,holding
2318,holding
2319,holding
2320,holding
2321,holding
2322,holding
2323,holding
2324,holding
2325,holding
2326,holding
2327,holding
2328,holding
2329,holding
2330,holding
2331,holding
2332,holding
2333,holding
2334,holding
2335,holding
2336,holding
2337,holding
2338,holding
2339,holding
2340,holding
2341,holding
2342,holding
2343,holding
2344,holding
2345,holding
2346,holding
2347,holding
2348,holding
2349,holding
2350,holding
2351,holding
2352,holding
2353,holding
2354,holding
2355,holding
2356,holding
2357,holding
2358,holding
2359,holding
2360,holding
2361,holding
2362,holding
2363,holding
2364,holding
2365,holding
2366,holding
2367,holding
2368,holding
2369,holding
2370,holding
2371,holding
2372,holding
2373,holding
2374,holding
2375,holding
2376,holding
2377,holding
2378,holding
2379,holding
2380,holding
2381,holding
2382,holding
2383,holding
2384,holding
2385,holding
2386,holding
2387,holding
2388,holding
2389,holding
2390,holding
2391,holding
2392,holding
2393,holding
2394,holding
2395,holding
2396,holding
2397,holding
2398,holding
2399,holding
2400,holding
2401,holding
2402,holding
2403,holding
2404,holding
2405,holding
2406,holding
2407,holding
2408,holding
2409,holding
2410,holding
2411,holding
2412,holding
2413,holding
2414,holding
2415,holding
2416,holding
2417,holding
2418,holding
2419,holding
2420,holding
2421,holding
2422,holding
2423,holding
2424,holding
2425,holding
2426,holding
2427,holding
2428,holding
2429,holding
2430,holding
2431,holding
2432,holding
2433,holding
2434,holding
2435,holding
2436,holding
2437,holding
2438,holding
2439,holding
2440,holding
2441,holding
2442,holding
2443,holding
2444,holding
2445,holding
2446,holding
2447,holding
2448,holding
2449,holding
2450,holding
2451,holding
2452,holding
2453,holding
2454,holding
2455,holding
2456,holding
2457,holding
2458,holding
2459,holding
2460,holding
2461,holding
2462,holding
2463,holding
2464,holding
2465,holding
2466,holding
2467,holding
2468,holding
2469,holding
2470,holding
2471,holding
2472,holding
2473,holding
2474,holding
2475,holding
2476,holding
2477,holding
2478,holding
2479,holding
2480,holding
2481,holding
2482,holding
2483,holding
2484,holding
2485,holding
2486,holding
2487,holding
2488,holding
2489,holding
2490,holding
2491,holding
2492,holding
2493,holding
2494,holding
2495,holding
2496,holding
2497,holding
