name,kind,raw_start,raw_end,trim_start,trim_end,N,mean,std
Nothing(1),low,122,901,352,671,320,-0.0013965312500000004,0.003969315872328402
Nothing(1),high,1138,1886,1368,1656,289,0.9194429065743946,0.0030637372548793754
Nothing(1),low,2122,2901,2352,2671,320,-0.0013548437500000001,0.0043196989156179515
Nothing(1),high,3137,3885,3367,3655,289,0.9205086505190313,0.0031810137566191214
Nothing(1),low,4122,4901,4352,4671,320,-0.0007503750000000004,0.003915868590514985
Nothing(1),high,5137,5885,5367,5655,289,0.9204602076124568,0.0032934027001926616
Nothing(1),low,6122,6901,6352,6671,320,-0.0015632812500000002,0.0041823188265656475
Nothing(1),high,7137,7885,7367,7655,289,0.9204602076124568,0.0029672941679195954
Nothing(1),low,8122,8901,8352,8671,320,-0.00139653125,0.0039340235410570325
Nothing(1),high,9137,9886,9367,9656,290,0.9202896551724138,0.0030118962319151004
